2025-02-10 11:06:26.341203, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:08:05.622905, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:09:51.172603, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:17:10.733985, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:19:27.992567, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:20:06.002224, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:21:14.609357, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:22:58.849385, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:24:42.457526, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:30:38.142157, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:40:35.248981, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:43:20.430746, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:44:45.479224, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:48:51.24627, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:51:21.6501, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:52:55.163321, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 12:00:55.75214, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 12:04:09.31073, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 12:05:14.883214, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 12:11:05.481525, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 15:14:23.807655, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 15:18:31.499516, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 15:19:50.762719, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 15:29:33.206703, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 15:33:18.619874, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 15:35:37.378775, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 15:36:57.78564, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 15:40:50.479482, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 15:44:25.539559, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 15:59:19.195925, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:00:46.729362, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:02:08.311813, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:06:07.727299, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:06:56.866633, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:07:42.74382, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
